PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Andrew Wiggins,MIA,30,1,1,0,7,2,1,3,33.3,0,0,0,0,0,0,1,2,3,2,0,0,0,1,9,0,0,13
Bam Adebayo,MIA,27,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,1,0,13
Brandin Podziemski,GSW,22,1,1,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,0,0,6
Buddy Hield,GSW,32,1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Caris LeVert,ATL,30,1,0,1,7,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-13
Davion Mitchell,MIA,26,1,1,0,7,6,2,2,100,2,2,100,0,0,0,0,0,0,0,1,0,0,1,5,0,0,13
Desmond Bane,ORL,27,1,0,1,5,4,1,2,50,1,2,50,1,1,100,1,0,1,0,0,0,0,0,5,0,0,-2
Draymond Green,GSW,35,1,1,0,3.2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,6,0,0,4
Duncan Robinson,MIA,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyson Daniels,ATL,22,1,0,1,7,2,1,2,50,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,1,0,-13
Gary Payton II,GSW,32,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Georges Niang,ATL,32,1,0,1,2.9,2,1,3,33.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2
Haywood Highsmith,MIA,28,1,1,0,7,2,1,2,50,0,1,0,0,0,0,0,1,1,1,0,0,0,0,5,1,0,13
Ja Morant,MEM,25,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,-2
Jaren Jackson Jr.,MEM,25,1,0,1,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,3,0,0,-2
Jimmy Butler III,GSW,35,1,1,0,5,2,1,1,100,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,2
John Konchar,MEM,29,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Kevon Looney,GSW,29,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4
Kyle Anderson,MIA,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kennard,MEM,29,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Moses Moody,GSW,23,1,1,0,4.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0
Mouhamed Gueye,ATL,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onyeka Okongwu,ATL,24,1,0,1,7,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,1,0,1,5,1,0,-13
Quinten Post,GSW,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1
Santi Aldama,MEM,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
Scotty Pippen Jr.,MEM,24,1,0,1,4.9,1,0,2,0,0,0,0,1,2,50,0,1,1,0,0,1,0,1,5,0,0,0
Stephen Curry,GSW,37,1,1,0,5,10,2,5,40,2,2,100,4,4,100,0,1,1,0,0,0,0,0,11,0,0,3
Terance Mann,ATL,28,1,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-15
Trae Young,ATL,26,1,0,1,7,6,3,4,75,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,1,0,-13
Tyler Herro,MIA,25,1,1,0,7,13,5,7,71.4,2,2,100,1,2,50,0,2,2,1,0,0,0,0,17,0,0,13
Zach Edey,MEM,23,1,0,1,4.9,5,1,1,100,0,0,0,3,4,75,1,2,3,0,0,0,0,0,9,1,0,2